"","Profile","Family","Collection_Date","Location","Tree_Loss_.","Fire","Flood","Anthro_Activity","Av_temp_high","Av_temp_low","Precipitation","Elevation","Plant_SR"
"170","487","Asteraceae",2001,"Ogbomoso,Nigeria",10,1066,1,1,30,21,1076.3,"347","786"
"171","488","Asteraceae",NA,"plovdiv/Bulgaria",3.1,126,0,1,18.5,7.1,502,"164","1938"
"172","489","Asteraceae",NA,"plovdiv/Bulgaria",3.1,126,0,1,18.5,7.1,502,"164","1938"
"173","490","Asteraceae",NA,"plovdiv/Bulgaria",3.1,126,0,1,18.5,7.1,502,"164","1938"
"174","491","Asteraceae",NA,"plovdiv/Bulgaria",3.1,126,0,1,18.5,7.1,502,"164","1938"
"175","492","Asteraceae",NA,"plovdiv/Bulgaria",3.1,126,0,1,18.5,7.1,502,"164","1938"
"176","493","Asteraceae",NA,"plovdiv/Bulgaria",3.1,126,0,1,18.5,7.1,502,"164","1938"
"177","494","Asteraceae",NA,"plovdiv/Bulgaria",3.1,126,0,1,18.5,7.1,502,"164","1938"
"178","495","Asteraceae",NA,"plovdiv/Bulgaria",3.1,126,0,1,18.5,7.1,502,"164","1938"
"179","496","Asteraceae",2000,"Lucknow (India)",5,442,1,1,32,18.6,917.3,"123","3834"
